date,hedge_BTC-USD_with_GC=F,hedge_BTC-USD_with_^GSPC,hedge_ETH-USD_with_^NSEI
2021-04-27,0.36218625480183814,1.6283820756971819,1.6427481798010524
2021-04-28,0.35804714390777,1.6478650179805798,1.686480065556087
2021-04-29,0.37069428916859276,1.64458557330396,1.6797471255279552
2021-04-30,0.41675435847071085,1.649376294680005,1.7282477126843907
2021-05-03,0.3754878006767061,1.1933581869447796,1.413254900862813
2021-05-04,0.3144852972865552,1.2137451016643064,1.7720071360425131
2021-05-05,0.536934138536049,1.446764493975296,1.7994437766078353
2021-05-06,0.5996197559882339,1.5226429072281806,1.913950824076775
2021-05-07,0.46759700217485123,1.3958222602698316,1.898756721649437
2021-05-10,0.47087160407525946,1.4121585652779087,1.924795439073272
2021-05-11,0.48774179075238433,1.2702240173683434,2.142593716411608
2021-05-12,0.4889040133798016,1.238194513936781,2.136234699541872
2021-05-14,0.9403060314066699,1.7771110379248964,2.290220100445831
2021-05-17,0.9199952996493216,1.3697250464570874,2.362193497767573
2021-05-18,0.5651541015631458,1.6943486427094148,1.7726917582584063
2021-05-20,0.5646941196228432,1.7173353374005584,1.694649820199562
2021-05-21,0.49519480473723093,1.7558030460776135,2.1950511203528422
2021-05-25,0.6436796556908038,1.9656295812469702,1.8102390144286054
2021-05-26,0.6583418223758625,2.030212927866424,1.8864048722532463
2021-05-27,0.6531916532084138,2.1020241412017695,1.9583182358356612
2021-05-28,0.6762098750762334,2.181814424505799,2.017272818520963
2021-06-01,0.6376561400556212,2.3396331906398147,1.934489152529788
2021-06-02,0.612244100515084,2.3404369547099964,2.0259256423666905
2021-06-04,0.6350331157232235,2.3549763749557946,2.039726584197643
2021-06-07,0.6512187957512543,2.2454044074748056,1.9233121135537359
2021-06-08,0.661962130318987,2.5498021497914154,1.909660651750558
2021-06-09,0.6557670337282018,2.579556386679301,1.9376346344869912
2021-06-10,0.7613639770463813,2.8078079540115395,1.8451513750712873
2021-06-11,0.7496553446358362,2.7393065645223293,1.69487709770512
2021-06-15,0.6744149681514348,2.7544167788883684,1.6319584703209078
2021-06-16,0.4327206449090038,2.9168480615543406,1.820906218051087
2021-06-17,0.37487194869007245,2.994065130915764,2.002553848748365
2021-06-18,0.2517935780771129,2.8273758543789125,1.9914189790614492
2021-06-21,0.24960238190487422,2.808368516986492,1.8554039082528333
2021-06-22,0.18024757465792288,2.0138008435760097,1.910781704161171
2021-06-23,0.17458272731153945,2.0383499705005232,1.8845803831137147
2021-06-24,0.2055529049307089,2.092273642349328,1.7644628900734438
2021-06-25,0.1912041074223035,2.109733746197473,1.6742573213551102
2021-06-28,0.22256677142485512,2.1909922010600886,1.5740646949071972
2021-06-29,0.25478507580748094,2.3501362941099044,1.4251312593789105
2021-06-30,0.19629183901341868,2.3785926796188535,1.3235874793676938
2021-07-02,0.18187801428003827,2.3778893051888392,1.2578430205843858
2021-07-06,0.12400085739667895,1.4467034362485032,1.1728138914993418
2021-07-07,0.13096892426795345,1.4123804865105012,1.2450235093695026
2021-07-08,0.11434379755397706,1.3049009498488742,1.076363679853737
2021-07-12,0.12802370328566726,1.3231835988398115,1.3343129077819151
