date,garch_vol_BTC-USD,garch_vol_ETH-USD,garch_vol_^GSPC,garch_vol_^GSPTSE,garch_vol_^HSI,garch_vol_^BVSP,garch_vol_^AXJO,garch_vol_^NSEI,garch_vol_GC=F,garch_vol_USDINR=X
2019-03-01,0.042606559355133265,0.06685906648789071,0.007894568481698469,0.008918863452410998,0.011471392876501547,0.017418977623485238,0.012907213715733577,0.00809534577773915,0.0110698597116149,0.004600570776148321
2019-03-06,0.04162011819087657,0.06508357374877605,0.0075236223430609995,0.008383449280190837,0.011247009858501612,0.016931711443770748,0.011922830289440349,0.00786016077232885,0.011488838067478612,0.004633766820184769
2019-03-07,0.040556539279148575,0.06303590257288808,0.008901718059337127,0.009369905941744382,0.011155372324464109,0.016318382720481823,0.011250099231216204,0.009623543796743066,0.011338858668016689,0.004453426017193294
2019-03-08,0.039668231345077805,0.061515119688940384,0.009897992671428836,0.008843403079518154,0.011917480143330755,0.01620157788712964,0.010540938982179879,0.009301146384297377,0.011081862199447014,0.004474121766631523
2019-03-11,0.038773209613368206,0.060337066956111095,0.009287998477484898,0.008473888880991433,0.01277887652091352,0.01677874692005216,0.01068269874027641,0.008857939579812539,0.01128189300340211,0.004364155161268693
2019-03-12,0.03803712209109231,0.05904686865333681,0.009225818684830125,0.008188077058790362,0.012439524633152127,0.016208298371772917,0.01175811833727245,0.008641332970708146,0.011312588801465311,0.004549691597308301
2019-03-13,0.03724078707245043,0.05735311316080255,0.008693064660289894,0.007975593171158837,0.012574744962739647,0.015604724538024115,0.011700325792594692,0.008826941482261897,0.011082911732533588,0.004395941519990393
2019-03-14,0.036462111046032135,0.05591175020782206,0.008709879548983583,0.007683732843572904,0.01227485256121548,0.015085318148120523,0.01095259793388404,0.008543690062604681,0.011106048277990992,0.004261360610329135
2019-03-15,0.035709238996995206,0.05436749605649664,0.008313389909305557,0.008668133026807894,0.011963029330936521,0.014634548226384637,0.01040837375937451,0.008241408133473346,0.011116236722725784,0.004097616162603773
2019-03-18,0.035001037724458756,0.05300972190470987,0.007896867346660237,0.008172233211324277,0.011684230344526047,0.014238767702204716,0.010056268385141225,0.007950189517830565,0.010857785471804056,0.004126874453105722
2019-03-19,0.034406375575116804,0.05158549111834742,0.007565750191321999,0.007782773599182355,0.011648201332380792,0.01384554042817896,0.00987901954504861,0.0077694838960360975,0.010658781229084575,0.004134397624707992
2019-03-20,0.03378211196309866,0.05025933999448608,0.0074876745492740105,0.008410787807952185,0.011448812796003014,0.01414114041495112,0.01002203421769842,0.00754104545380198,0.010419768949519605,0.004079442202188632
2019-03-22,0.0333010487286753,0.04898000959514909,0.007665803615651949,0.00842121060526996,0.011315227974854,0.013792495812897614,0.009861197477301097,0.007902380111579482,0.01038345579766487,0.00512393008913108
2019-03-25,0.033643191748419225,0.04897112998113263,0.009042636898763362,0.008560696624582469,0.011799189377048398,0.01944587997259373,0.009552500439446512,0.008705540143649151,0.010216358390942357,0.0050727626460234975
2019-03-26,0.03340311548038028,0.04807001596101852,0.008596390523880252,0.008379838625929885,0.012560625056586233,0.02105967149205303,0.00936711613843531,0.008602682212740784,0.010406601582265964,0.005048166802622474
