date,weight_BTC-USD,weight_GC=F,weight_^GSPC,weight_ETH-USD,weight_^NSEI
2023-03-14,0.0,1.0,1.0,0.017782881526838042,0.982217118473162
2023-03-15,0.0,1.0,1.0,0.016279369538091046,0.9837206304619089
2023-03-16,0.0,1.0,1.0,0.014401667456100043,0.9855983325439
2023-03-17,0.0,1.0,1.0,0.013440759123433866,0.9865592408765661
2023-03-20,0.0,1.0,1.0,0.00971490839724414,0.9902850916027559
2023-03-21,0.0,1.0,1.0,0.008375017966603927,0.9916249820333961
2023-03-22,0.0,1.0,1.0,0.0066841992431912875,0.9933158007568087
2023-03-23,0.0,1.0,1.0,0.006905128293483868,0.9930948717065161
2023-03-24,0.0,1.0,1.0,0.009101899414942253,0.9908981005850578
2023-03-27,0.0,1.0,1.0,0.008052460590470214,0.9919475394095297
2023-03-28,0.0,1.0,1.0,0.007697113499640831,0.9923028865003591
2023-03-29,0.0,1.0,1.0,0.008172493260654126,0.9918275067393458
2023-03-31,0.0,1.0,1.0,0.008456411988059107,0.9915435880119409
2023-04-03,0.0,1.0,1.0,0.01369578523693713,0.9863042147630628
2023-04-06,0.0,1.0,1.0,0.01271431631811551,0.9872856836818845
2023-04-11,0.0,1.0,1.0,0.011304658680147201,0.9886953413198528
2023-04-12,0.0,1.0,1.0,0.011347020459626463,0.9886529795403736
2023-04-13,0.0,1.0,1.0,0.010549982392131669,0.9894500176078683
2023-04-17,0.0,1.0,1.0,0.009029260172765565,0.9909707398272344
2023-04-18,0.0,1.0,1.0,0.013737828014457379,0.9862621719855427
2023-04-19,0.0,1.0,1.0,0.012856722110866393,0.9871432778891336
2023-04-20,0.0,1.0,1.0,0.006696189265729345,0.9933038107342707
2023-04-24,0.0,1.0,1.0,0.0064597642579046315,0.9935402357420954
2023-04-26,0.0,1.0,1.0,0.006588745557175395,0.9934112544428246
2023-04-27,0.002389431919743986,1.0,0.997610568080256,0.006389481503152483,0.9936105184968476
2023-04-28,0.004449223437214619,1.0,0.9955507765627853,0.005972302051504712,0.9940276979484953
2023-05-02,0.004300584463955207,1.0,0.9956994155360448,0.009174880443868603,0.9908251195561314
2023-05-03,0.004040070031308452,0.9985766644504549,0.9959599299686915,0.010129696574515379,0.9898703034254847
2023-05-04,0.004135943086287283,0.9979931018448555,0.9958640569137127,0.01108655583091934,0.9889134441690807
